Vessels Name,IMO,MMSI,Class,Subclass,Length,Gross Tonnage,Age,Sailing,In Port,Waiting,Signal Lost,Dark Activity,Portcalls,Average dur. Portcalls,NM Sailed (k),Risk,Human expertise,NoAnomaly
KUBROSLI_Y,8000836,620797000,Cargo,Bulk Carrier,138.00,7788.00,42.00,67.00,75.00,131.00,92.00,38.00,19.00,95.00,14.00,High,1,0
HAJE ZAINAB,8025381,671573000,Cargo,Bulk Carrier,136.00,6498.00,42.00,66.00,138.00,158.00,3.00,0.00,24.00,138.00,14.00,Moderate,1,0
MOHAMAD Y,8107000,341156000,Cargo,Bulk Carrier,138.00,7788.00,42.00,71.00,94.00,169.00,31.00,9.00,22.00,102.00,15.00,Moderate,1,0
GOLDEN BIRD,8517580,357207000,Cargo,Bulk Carrier,122.00,7170.00,37.00,77.00,163.00,107.00,18.00,10.00,24.00,161.00,17.00,Low,0,0
AMADORE,8520824,249784000,Cargo,Bulk Carrier,143.00,8253.00,36.00,34.00,93.00,22.00,216.00,0.00,8.00,279.00,6.00,Low,0,0
DAYTONA H,8520836,620086000,Cargo,Bulk Carrier,143.00,8254.00,35.00,76.00,76.00,135.00,78.00,72.00,15.00,122.00,14.00,Moderate,1,0
PRINCE EZZ,8613126,620910000,Cargo,Bulk Carrier,122.00,7166.00,35.00,100.00,126.00,106.00,33.00,7.00,19.00,160.00,15.00,Low,0,0
MKK 1,8902929,511100551,Cargo,Bulk Carrier,144.00,9815.00,31.00,113.00,104.00,115.00,33.00,31.00,16.00,155.00,22.00,Low,0,0
BR GLORY,8907577,518558000,Cargo,Bulk Carrier,158.00,13695.00,33.00,115.00,65.00,73.00,112.00,95.00,12.00,101.00,23.00,Low,0,0
OMEGA_STAR,8917742,667001713,Cargo,Bulk Carrier,104.00,3828.00,32.00,223.00,69.00,69.00,4.00,0.00,28.00,59.00,59.00,Low,0,0
BRAVE LEADER,9033505,450559000,Cargo,Bulk Carrier,158.00,13706.00,31.00,103.00,154.00,99.00,9.00,0.00,23.00,161.00,24.00,Low,0,0
PRINCESS MANISSA,9084217,341260000,Cargo,Bulk Carrier,158.00,13725.00,29.00,79.00,114.00,114.00,58.00,54.00,14.00,196.00,21.00,High,1,0
ROYAL O,9084229,511100729,Cargo,Bulk Carrier,158.00,13865.00,29.00,126.00,121.00,71.00,47.00,39.00,22.00,132.00,31.00,High,1,0
ALKADI BEY,9085675,667001738,Cargo,Bulk Carrier,158.00,13865.00,28.00,122.00,81.00,86.00,76.00,71.00,19.00,102.00,30.00,High,1,0
REK KING,9085895,374377000,Cargo,Bulk Carrier,143.00,10490.00,26.00,120.00,164.00,80.00,1.00,0.00,27.00,146.00,27.00,Low,0,0
AYYILDIZ,9085900,373574000,Cargo,Bulk Carrier,143.00,10490.00,27.00,111.00,145.00,56.00,53.00,5.00,38.00,91.00,30.00,Low,0,0
BOMUSTAFA O,9114476,352001900,Cargo,Bulk Carrier,157.00,14599.00,28.00,125.00,74.00,166.00,0.00,0.00,10.00,145.00,33.00,Moderate,1,0
LITA,9117416,636016303,Cargo,Bulk Carrier,148.00,11121.00,28.00,148.00,156.00,58.00,3.00,0.00,20.00,163.00,38.00,Moderate,1,0
NEW ENAS,9118238,620718000,Cargo,Bulk Carrier,143.00,10421.00,27.00,57.00,116.00,106.00,86.00,75.00,21.00,132.00,12.00,Low,0,0
FORTUNA,9118252,314520000,Cargo,Bulk Carrier,143.00,10490.00,26.00,97.00,110.00,129.00,29.00,12.00,23.00,115.00,23.00,High,1,0
BEST HARMONY,9119086,373702000,Cargo,Bulk Carrier,154.00,14704.00,28.00,116.00,103.00,113.00,33.00,14.00,20.00,124.00,23.00,Low,0,0
BEREKET,9123702,374681000,Cargo,Bulk Carrier,154.00,14762.00,26.00,183.00,121.00,50.00,11.00,0.00,29.00,100.00,48.00,Moderate,1,0
KLC ERCIYES,9132480,314687000,Cargo,Bulk Carrier,142.00,10220.00,26.00,45.00,130.00,179.00,11.00,0.00,19.00,164.00,11.00,High,1,0
QUEEN SARA,9132507,667001896,Cargo,Bulk Carrier,142.00,10220.00,25.00,98.00,148.00,112.00,7.00,6.00,51.00,68.00,24.00,Low,0,0
PLUTUS,9132519,511100630,Cargo,Bulk Carrier,142.00,10220.00,25.00,118.00,104.00,120.00,23.00,16.00,13.00,191.00,27.00,High,1,0
MOAYAD Y,9135482,620999048,Cargo,Bulk Carrier,154.00,14754.00,27.00,89.00,53.00,198.00,25.00,25.00,13.00,86.00,14.00,High,1,0
BRAVE COMMANDER,9136931,450555000,Cargo,Bulk Carrier,151.00,14431.00,27.00,92.00,180.00,85.00,8.00,7.00,22.00,186.00,25.00,Low,0,0
PRINCE MOUHAMMAD,9138692,620428000,Cargo,Bulk Carrier,160.00,15888.00,25.00,59.00,75.00,79.00,152.00,139.00,16.00,112.00,17.00,High,1,0
MOHAMAD M,9141235,518998563,Cargo,Bulk Carrier,154.00,14747.00,26.00,179.00,98.00,87.00,1.00,0.00,28.00,84.00,50.00,High,1,0
NECO K,9146053,355969000,Cargo,Bulk Carrier,113.00,6001.00,27.00,46.00,114.00,204.00,1.00,0.00,20.00,136.00,10.00,Low,0,0
COMET,9146106,636016356,Cargo,Bulk Carrier,113.00,5997.00,26.00,54.00,211.00,14.00,86.00,0.00,22.00,230.00,15.00,Low,0,0
LADY PERLA,9149732,636021219,Cargo,Bulk Carrier,158.00,15355.00,26.00,65.00,87.00,210.00,3.00,0.00,19.00,105.00,18.00,Moderate,1,0
AMINEH M,9150743,518100289,Cargo,Bulk Carrier,149.00,13781.00,24.00,104.00,154.00,60.00,47.00,46.00,25.00,148.00,27.00,High,1,0
GOLDEN SHARK,9151383,511100789,Cargo,Bulk Carrier,148.00,11194.00,26.00,82.00,110.00,139.00,34.00,1.00,19.00,140.00,20.00,High,1,0
GANOSAYA,9151400,518100770,Cargo,Bulk Carrier,148.00,11246.00,26.00,63.00,134.00,144.00,24.00,23.00,20.00,161.00,15.00,Low,0,0
SALLY M,9152844,370998000,Cargo,Bulk Carrier,101.00,4569.00,26.00,89.00,92.00,167.00,17.00,8.00,21.00,106.00,14.00,Moderate,1,0
AQUIS PERLA,9161869,352187000,Cargo,Bulk Carrier,113.00,6079.00,26.00,92.00,159.00,112.00,2.00,0.00,50.00,76.00,22.00,Low,0,0
